Age Group,Gender,City,Cleanliness of public toilets,Safety of public toilets,Features in public toilets,Public Service Use,Frequency of Public Service Use,Satisfaction of Pulic Transportation,Suggestion for Pulic Transportation,Visting of Local Parks,Frequency of Visting of Local Parks,Important Park amenities,Issues in Park,Safety of Public Transportation,Suggestion for Parks,Satisfaction on Libraries resources,Frequency of Visiting Library,Satisfaction of Local Public Service,Suggestion for Libraries,Suggestion for Local Public Service
18-35 ,Male,Chennai,Good,Somewhat safe,Comfortable seating areas,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Very Satisfied,Never,Very Satisfied,E book access,Invest in technology
18-35 ,Female,Kanakapura,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,A few times a week,Unsatisfied,Increased safety and security,Sometimes,More amenities,Sports facilities,Maintenance and cleanliness,No,Public restrooms,Neutral,Monthly,Neutral,Language learning programs,Invest in technology
18-35 ,Male,Hyderabad,Good,Neutral,Accessible facilities for people with disabilities,Yes,Once a week,Very satisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,E book access,Improve customer service
51-70 ,Female,Palamaner,Good,Neutral,Free Wi-Fi,No,Once a week,Very satisfied,Increased safety and security,No,Increased programming and events,Walking trails,Crowding and noise,Sometimes,Public restrooms,Satisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Male,Tirupati,Fair,Very unsafe,Baby-changing facilities,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Very Satisfied,Never,Dissatisfied,E book access,Improve customer service
18-35 ,Female,Mysuru,Poor,Very safe,Comfortable seating areas,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Restrooms,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Quarterly,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
18-35 ,Male,Kanakapura,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,Everyday,Very satisfied,More frequent buses/trains,No,Increased programming and events,Picnic area,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Weekly,Neutral,E book access,Invest in technology
18-35 ,Female,Hyderabad,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Neutral,More frequent buses/trains,Yes,More amenities,Sports facilities,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Weekly,Satisfied,E book access,Invest in technology
71-95,Male,Chennai,Fair,Very safe,Free Wi-Fi,Yes,Once a week,Very satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Monthly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Male,Palamaner,Good,Somewhat unsafe,Comfortable seating areas,No,A few times a week,Unsatisfied,More frequent buses/trains,No,More amenities,Playgrounds,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Rarely,Neutral,Language learning programs,Invest in technology
36-50 ,Female,Hyderabad,Good,Somewhat safe,Accessible facilities for people with disabilities,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Sports facilities,Safety and security,Yes,Electric vehicle charging stations,Neutral,Rarely,Very Satisfied,E book access,Invest in technology
36-50 ,Female,Mysuru,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Everyday,Satisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Monthly,Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Female,Palamaner,Fair,Neutral,Free Wi-Fi,No,Everyday,Very unsatisfied,Reduced fares or free transfers,Sometimes,Better maintenance and cleanliness,Picnic area,Crowding and noise,No,Electric vehicle charging stations,Dissatisfied,Weekly,Satisfied,Language learning programs,Invest in technology
18-35 ,Female,Chennai,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Satisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Picnic area,Safety and security,Yes,Electric vehicle charging stations,Satisfied,Rarely,Dissatisfied,E book access,Improve customer service
18-35 ,Male,Tirupati,Fair,Somewhat safe,Free Wi-Fi,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Crowding and noise,No,Sports equipment rentals,Satisfied,Never,Neutral,"DIY workshop(crafting,painting)",Enhance community engagement
36-50 ,Male,Kolkata,Good,Very safe,Comfortable seating areas,No,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Crowding and noise,No,Electric vehicle charging stations,Neutral,Monthly,Very Satisfied,E book access,Improve customer service
36-50 ,Male,Chennai,Fair,Very safe,Comfortable seating areas,No,A few times a week,Very unsatisfied,Increased safety and security,No,Improved lighting and safety,Sports facilities,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Dissatisfied,Never,Dissatisfied,Language learning programs,Improve customer service
71-95,Male,Tirupati,Poor,Somewhat safe,Baby-changing facilities,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Playgrounds,Lack of amenities,Sometimes,Electric vehicle charging stations,Neutral,Monthly,Satisfied,E book access,Improve customer service
18-35 ,Male,Kanakapura,Fair,Somewhat safe,Baby-changing facilities,No,Once a week,Very satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Lack of amenities,Sometimes,Public restrooms,Dissatisfied,Rarely,Very Satisfied,E book access,Improve customer service
18-35 ,Female,Kolkata,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Once a week,Very satisfied,Increased safety and security,No,More amenities,Sports facilities,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Dissatisfied,Monthly,Very Satisfied,E book access,Improve customer service
18-35 ,Female,Kanakapura,Poor,Somewhat unsafe,Comfortable seating areas,No,Once a week,Neutral,Reduced fares or free transfers,No,More amenities,Sports facilities,Lack of amenities,Yes,Public restrooms,Satisfied,Monthly,Neutral,Language learning programs,Increase transparency
18-35 ,Male,Kolkata,Good,Somewhat safe,Air conditioning or heating,No,A few times a week,Very satisfied,Increased safety and security,Yes,More amenities,Sports facilities,Safety and security,Yes,Electric vehicle charging stations,Very dissatisfied,Monthly,Satisfied,E book access,Improve customer service
71-95,Male,Kolkata,Good,Somewhat safe,Baby-changing facilities,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,Sometimes,Electric vehicle charging stations,Very Satisfied,Rarely,Satisfied,Language learning programs,Improve customer service
18-35 ,Female,Chennai,Fair,Neutral,Comfortable seating areas,No,Once a week,Unsatisfied,Reduced fares or free transfers,Yes,Improved lighting and safety,Restrooms,Lack of amenities,No,Electric vehicle charging stations,Dissatisfied,Monthly,Dissatisfied,E book access,Invest in technology
71-95,Male,Mysuru,Fair,Neutral,Comfortable seating areas,No,A few times a week,Very unsatisfied,Reduced fares or free transfers,Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Public restrooms,Very dissatisfied,Never,Satisfied,Language learning programs,Increase transparency
18-35 ,Female,Bengaluru,Good,Somewhat safe,Free Wi-Fi,Yes,Everyday,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Walking trails,Lack of amenities,Sometimes,Public restrooms,Dissatisfied,Monthly,Satisfied,E book access,Increase transparency
18-35 ,Male,Kolkata,Good,Neutral,Comfortable seating areas,Yes,Once a week,Neutral,Reduced fares or free transfers,No,Improved lighting and safety,Picnic area,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Never,Satisfied,E book access,Invest in technology
18-35 ,Female,Mysuru,Good,Neutral,Free Wi-Fi,No,Never,Satisfied,Reduced fares or free transfers,Yes,More amenities,Sports facilities,Lack of amenities,No,Public restrooms,Satisfied,Rarely,Dissatisfied,E book access,Invest in technology
71-95,Male,Chennai,Good,Somewhat safe,Comfortable seating areas,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Monthly,Very Satisfied,E book access,Enhance community engagement
18-35 ,Female,Kolkata,Excellent,Somewhat unsafe,Baby-changing facilities,No,Never,Neutral,Increased safety and security,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Quarterly,Very Satisfied,E book access,Improve customer service
51-70 ,Female,Mysuru,Good,Neutral,Accessible facilities for people with disabilities,No,A few times a week,Neutral,More frequent buses/trains,No,Increased programming and events,Picnic area,Crowding and noise,No,Electric vehicle charging stations,Dissatisfied,Monthly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Male,Palamaner,Good,Neutral,Free Wi-Fi,No,A few times a week,Unsatisfied,Reduced fares or free transfers,No,More amenities,Sports facilities,Lack of amenities,No,Sports equipment rentals,Neutral,Rarely,Very Satisfied,Language learning programs,Improve customer service
51-70 ,Male,Bengaluru,Fair,Very unsafe,Baby-changing facilities,No,Everyday,Satisfied,Reduced fares or free transfers,Sometimes,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,Sometimes,Public restrooms,Satisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
71-95,Female,Palamaner,Fair,Neutral,Comfortable seating areas,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Sports facilities,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,Language learning programs,Invest in technology
36-50 ,Female,Mysuru,Fair,Neutral,Accessible facilities for people with disabilities,No,A few times a week,Satisfied,Increased safety and security,No,More amenities,Walking trails,Safety and security,Sometimes,Sports equipment rentals,Very dissatisfied,Monthly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
51-70 ,Female,Bengaluru,Excellent,Neutral,Comfortable seating areas,No,Everyday,Satisfied,More frequent buses/trains,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Rarely,Dissatisfied,E book access,Enhance community engagement
36-50 ,Female,Chennai,Poor,Very safe,Comfortable seating areas,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Lack of amenities,No,Sports equipment rentals,Satisfied,Quarterly,Dissatisfied,E book access,Enhance community engagement
18-35 ,Female,Chennai,Excellent,Neutral,Accessible facilities for people with disabilities,No,Everyday,Very unsatisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,E book access,Invest in technology
36-50 ,Male,Kanakapura,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Sports facilities,Lack of amenities,Sometimes,Sports equipment rentals,Neutral,Rarely,Very Dissatisfied,E book access,Invest in technology
51-70 ,Male,Mysuru,Fair,Very safe,Free Wi-Fi,Yes,Never,Unsatisfied,More frequent buses/trains,Sometimes,Increased programming and events,Sports facilities,Lack of amenities,No,Sports equipment rentals,Very dissatisfied,Quarterly,Satisfied,E book access,Enhance community engagement
36-50 ,Female,Bengaluru,Good,Somewhat unsafe,Comfortable seating areas,Yes,Never,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Monthly,Very Dissatisfied,Language learning programs,Invest in technology
51-70 ,Male,Chennai,Good,Somewhat safe,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,Increased safety and security,Yes,Increased programming and events,Restrooms,Maintenance and cleanliness,No,Electric vehicle charging stations,Very dissatisfied,Weekly,Satisfied,Language learning programs,Increase transparency
36-50 ,Female,Mysuru,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Never,Very satisfied,"Cleaner, more comfortable vehicles",Sometimes,Improved lighting and safety,Sports facilities,Maintenance and cleanliness,Yes,Sports equipment rentals,Very dissatisfied,Never,Satisfied,"DIY workshop(crafting,painting)",Enhance community engagement
51-70 ,Male,Bengaluru,Fair,Neutral,Free Wi-Fi,No,Everyday,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Safety and security,No,Electric vehicle charging stations,Satisfied,Quarterly,Neutral,Language learning programs,Increase transparency
71-95,Male,Kolkata,Good,Somewhat safe,Baby-changing facilities,Yes,Everyday,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Monthly,Satisfied,Language learning programs,Invest in technology
36-50 ,Female,Palamaner,Fair,Somewhat safe,Free Wi-Fi,Yes,Once a week,Very satisfied,Increased safety and security,No,Better maintenance and cleanliness,Playgrounds,Safety and security,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Very Dissatisfied,E book access,Enhance community engagement
18-35 ,Female,Hyderabad,Good,Very safe,Comfortable seating areas,No,Everyday,Satisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Dissatisfied,Weekly,Dissatisfied,Language learning programs,Increase transparency
18-35 ,Female,Chennai,Fair,Very safe,Comfortable seating areas,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,Increased programming and events,Sports facilities,Accessibility and inclusivity,No,Public restrooms,Neutral,Quarterly,Satisfied,E book access,Invest in technology
18-35 ,Female,Mysuru,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,E book access,Enhance community engagement
