age_group,gender,city,toilet_cleanliness,toilet_safety,toilet_features,service_use,service_use_freq,transport_satisfaction,transport_suggestions,park_visiting,park_visit_freq,park_amenities,park_issues,transport_safety,park_suggestions,library_satisfaction,library_visit_freq,local_service_satisfaction,library_suggestions,local_service_suggestions,full_feedback,clean_text
Oct-18,Male,Kanakapura,Good,Somewhat unsafe,Air conditioning or heating,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Neutral Good Somewhat unsafe No Unsatisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service neutral good somewhat unsafe unsatisfied
36-50 ,Male,Andhra Pradesh,Excellent,Somewhat safe,Comfortable seating areas,No,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Picnic area,Lack of amenities,Sometimes,Public restrooms,Very dissatisfied,Weekly,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service,"Reduced fares or free transfers Public restrooms DIY workshop(crafting,painting) Improve customer service Dissatisfied Excellent Somewhat safe No Neutral",reduce fare free transfer public restroom diy painting improve customer service dissatisfied excellent somewhat safe neutral
51-70 ,Male,Mysuru,Good,Somewhat unsafe,Accessible facilities for people with disabilities,Yes,Never,Very unsatisfied,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Restrooms,Safety and security,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Increase transparency,Reduced fares or free transfers Sports equipment rentals E book access Increase transparency Neutral Good Somewhat unsafe Yes Very unsatisfied,reduce fare free transfer sport equipment rental e book access increase transparency neutral good somewhat unsafe yes unsatisfied
18-35 ,Male,Palamaner,Poor,Somewhat unsafe,Comfortable seating areas,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Restrooms,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Very Satisfied,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Dissatisfied Poor Somewhat unsafe Yes Unsatisfied",clean comfortable vehicle electric vehicle charge station diy painting invest technology dissatisfied poor somewhat unsafe yes unsatisfie
36-50 ,Male,Tirupati,Good,Somewhat unsafe,Air conditioning or heating,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Dissatisfied,Weekly,Very Satisfied,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Improve customer service Very Satisfied Good Somewhat unsafe Yes Neutral",clean comfortable vehicle electric vehicle charge station language learning program improve customer service satisfied good somewhat unsafe yes neutral
36-50 ,Female,Mysuru,Good,Very safe,Baby-changing facilities,No,Never,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Public restrooms,Satisfied,Rarely,Very Satisfied,E book access,Enhance community engagement,"Cleaner, more comfortable vehicles Public restrooms E book access Enhance community engagement Very Satisfied Good Very safe No Satisfied",clean comfortable vehicle public restroom e book access enhance community engagement satisfied good safe satisfied
18-35 ,Female,Chennai,Fair,Neutral,Comfortable seating areas,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Weekly,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service,"More frequent buses/trains Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Very Dissatisfied Fair Neutral Yes Neutral",frequent bus train electric vehicle charge station diy painting improve customer service dissatisfied fair neutral yes neutral
36-50 ,Male,Kanakapura,Good,Somewhat safe,Comfortable seating areas,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,More amenities,Walking trails,Lack of amenities,No,Public restrooms,Neutral,Rarely,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Public restrooms E book access Improve customer service Neutral Good Somewhat safe Yes Unsatisfied",clean comfortable vehicle public restroom e book access improve customer service neutral good somewhat safe yes unsatisfie
36-50 ,Male,Bengaluru,Poor,Somewhat safe,Free Wi-Fi,Yes,Once a week,Neutral,Increased safety and security,No,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Satisfied,Rarely,Neutral,E book access,Increase transparency,Increased safety and security Electric vehicle charging stations E book access Increase transparency Neutral Poor Somewhat safe Yes Neutral,increase safety security electric vehicle charge station e book access increase transparency neutral poor somewhat safe yes neutral
18-35 ,Female,Bengaluru,Poor,Very unsafe,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,More frequent buses/trains,Yes,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Dissatisfied,E book access,Enhance community engagement,More frequent buses/trains Electric vehicle charging stations E book access Enhance community engagement Dissatisfied Poor Very unsafe No Unsatisfied,frequent bus train electric vehicle charge station e book access enhance community engagement dissatisfied poor unsafe unsatisfied
36-50 ,Female,Mysuru,Fair,Very unsafe,Free Wi-Fi,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Public restrooms,Neutral,Quarterly,Very Dissatisfied,Language learning programs,Improve customer service,More frequent buses/trains Public restrooms Language learning programs Improve customer service Very Dissatisfied Fair Very unsafe Yes Neutral,frequent bus train public restroom language learning program improve customer service dissatisfied fair unsafe yes neutral
36-50 ,Male,Bengaluru,Fair,Neutral,Baby-changing facilities,Yes,A few times a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Sports equipment rentals,Very Satisfied,Never,Neutral,E book access,Increase transparency,Reduced fares or free transfers Sports equipment rentals E book access Increase transparency Neutral Fair Neutral Yes Satisfied,reduce fare free transfer sport equipment rental e book access increase transparency neutral fair neutral yes satisfy
51-70 ,Female,Mysuru,Poor,Somewhat unsafe,Free Wi-Fi,No,Everyday,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Safety and security,No,Electric vehicle charging stations,Satisfied,Weekly,Neutral,"DIY workshop(crafting,painting)",Enhance community engagement,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Enhance community engagement Neutral Poor Somewhat unsafe No Satisfied",clean comfortable vehicle electric vehicle charge station diy painting enhance community engagement neutral poor somewhat unsafe satisfied
36-50 ,Male,Bengaluru,Good,Somewhat safe,Baby-changing facilities,Yes,Once a week,Satisfied,More frequent buses/trains,No,More amenities,Sports facilities,Maintenance and cleanliness,Sometimes,Public restrooms,Neutral,Quarterly,Dissatisfied,Language learning programs,Invest in technology,More frequent buses/trains Public restrooms Language learning programs Invest in technology Dissatisfied Good Somewhat safe Yes Satisfied,frequent bus train public restroom language learning program invest technology dissatisfied good somewhat safe yes satisfied
Oct-18,Female,Chennai,Poor,Very unsafe,Comfortable seating areas,Yes,Once a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Sports facilities,Lack of amenities,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Neutral,E book access,Invest in technology,Increased safety and security Electric vehicle charging stations E book access Invest in technology Neutral Poor Very unsafe Yes Unsatisfied,increase safety security electric vehicle charging station e book access invest technology neutral poor unsafe yes unsatisfie
36-50 ,Male,Hyderabad,Excellent,Somewhat unsafe,Comfortable seating areas,No,Everyday,Neutral,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Sports facilities,Maintenance and cleanliness,Yes,Sports equipment rentals,Satisfied,Quarterly,Very Dissatisfied,"DIY workshop(crafting,painting)",Enhance community engagement,"Cleaner, more comfortable vehicles Sports equipment rentals DIY workshop(crafting,painting) Enhance community engagement Very Dissatisfied Excellent Somewhat unsafe No Neutral",clean comfortable vehicle sport equipment rental diy painting enhance community engagement dissatisfied excellent somewhat unsafe neutral
18-35 ,Male,Hyderabad,Good,Somewhat unsafe,Comfortable seating areas,Yes,Once a week,Very satisfied,More frequent buses/trains,Yes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Monthly,Dissatisfied,E book access,Improve customer service,More frequent buses/trains Public restrooms E book access Improve customer service Dissatisfied Good Somewhat unsafe Yes Very satisfied,frequent bus train public restroom e book access improve customer service dissatisfied good somewhat unsafe yes satisfied
36-50 ,Female,Mysuru,Good,Somewhat safe,Charging stations for phones and devices,No,Never,Very unsatisfied,Increased safety and security,Sometimes,Improved lighting and safety,Walking trails,Maintenance and cleanliness,Sometimes,Public restrooms,Very Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Invest in technology,"Increased safety and security Public restrooms DIY workshop(crafting,painting) Invest in technology Very Satisfied Good Somewhat safe No Very unsatisfied",increase safety security public restroom diy painting invest technology satisfied good somewhat safe unsatisfied
18-35 ,Male,Hyderabad,Fair,Neutral,Comfortable seating areas,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Sports facilities,Safety and security,Yes,Sports equipment rentals,Dissatisfied,Quarterly,Very Satisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Very Satisfied Fair Neutral No Satisfied",clean comfortable vehicle sport equipment rental e book access improve customer service satisfied fair neutral satisfied
